electoral_district,reported,Harris-Walz_Democratic,Trump-Vance_Republican,Trump-Vance_Conservative,Harris-Walz_Working_Families,write_in,assembly_district,ed_map_for_viz,total_votes,trump_votes,harris_votes,vote_counts,trump_votes_pct,harris_votes_pct,vote_counts_pct
ED 1,99.00%,371,168,7,26,3,AD   77,77001,575,175,397,-222,30.434782608695656,69.04347826086956,-38.60869565217391
ED 2,99.00%,503,200,7,17,6,AD   77,77002,733,207,520,-313,28.240109140518417,70.94133697135061,-42.701227830832195
ED 3,99.00%,471,144,18,12,2,AD   77,77003,647,162,483,-321,25.0386398763524,74.65224111282845,-49.61360123647605
ED 4,83.33%,94,27,2,6,2,AD   77,77004,131,29,100,-71,22.137404580152673,76.33587786259542,-54.19847328244275
ED 5,99.00%,470,178,11,11,2,AD   77,77005,672,189,481,-292,28.125,71.57738095238095,-43.45238095238095
ED 6,99.00%,466,155,15,18,2,AD   77,77006,656,170,484,-314,25.914634146341463,73.78048780487805,-47.86585365853659
ED 7,99.00%,478,202,11,12,4,AD   77,77007,707,213,490,-277,30.12729844413013,69.3069306930693,-39.17963224893917
ED 8,99.00%,414,145,10,11,7,AD   77,77008,587,155,425,-270,26.405451448040886,72.40204429301534,-45.99659284497445
ED 9,99.00%,488,200,16,14,6,AD   77,77009,724,216,502,-286,29.83425414364641,69.33701657458563,-39.50276243093922
ED 10,99.00%,449,195,7,21,5,AD   77,77010,677,202,470,-268,29.83751846381093,69.42392909896603,-39.5864106351551
ED 11,99.00%,475,196,15,10,1,AD   77,77011,697,211,485,-274,30.272596843615496,69.58393113342898,-39.31133428981348
ED 12,99.00%,481,144,12,18,6,AD   77,77012,661,156,499,-343,23.600605143721634,75.49167927382754,-51.891074130105906
ED 13,99.00%,553,174,19,14,2,AD   77,77013,762,193,567,-374,25.32808398950131,74.40944881889764,-49.081364829396335
ED 14,99.00%,470,132,6,16,3,AD   77,77014,627,138,486,-348,22.00956937799043,77.51196172248804,-55.50239234449761
ED 15,99.00%,40,20,1,3,0,AD   77,77015,64,21,43,-22,32.8125,67.1875,-34.375
ED 16,99.00%,98,17,1,5,1,AD   77,77016,122,18,103,-85,14.754098360655737,84.42622950819673,-69.672131147541
ED 17,99.00%,348,92,6,8,1,AD   77,77017,455,98,356,-258,21.53846153846154,78.24175824175825,-56.70329670329671
ED 18,99.00%,350,103,5,16,5,AD   77,77018,479,108,366,-258,22.546972860125262,76.40918580375782,-53.86221294363256
ED 19,99.00%,418,94,5,10,1,AD   77,77019,528,99,428,-329,18.75,81.06060606060606,-62.31060606060606
ED 20,99.00%,141,51,3,5,1,AD   77,77020,201,54,146,-92,26.865671641791046,72.636815920398,-45.77114427860696
ED 21,99.00%,297,119,6,11,3,AD   77,77021,436,125,308,-183,28.6697247706422,70.64220183486239,-41.972477064220186
ED 22,85.71%,250,95,7,4,3,AD   77,77022,359,102,254,-152,28.412256267409468,70.75208913649024,-42.33983286908077
