assembly_district,link
AD   77,https://enr.boenyc.gov/CD26825AD772.html
AD   77,https://enr.boenyc.gov/CD26825AD772.html
AD   77,https://enr.boenyc.gov/CD26825AD772.html
AD   78,https://enr.boenyc.gov/CD26825AD782.html
AD   79,https://enr.boenyc.gov/CD26825AD792.html
AD   80,https://enr.boenyc.gov/CD26825AD802.html
AD   81,https://enr.boenyc.gov/CD26825AD812.html
AD   82,https://enr.boenyc.gov/CD26825AD822.html
AD   83,https://enr.boenyc.gov/CD26825AD832.html
AD   84,https://enr.boenyc.gov/CD26825AD842.html
AD   85,https://enr.boenyc.gov/CD26825AD852.html
AD   86,https://enr.boenyc.gov/CD26825AD862.html
AD   87,https://enr.boenyc.gov/CD26825AD872.html
