electoral_district,reported,Harris-Walz_Democratic,Trump-Vance_Republican,Trump-Vance_Conservative,Harris-Walz_Working_Families,write_in,assembly_district,ed_map_for_viz,trump_votes,harris_votes,votes_value_for_viz
ED 1,99.00%,371,168,7,26,3,AD   77,77001,175,397,-222
ED 2,99.00%,503,200,7,17,6,AD   77,77002,207,520,-313
ED 3,99.00%,471,144,18,12,2,AD   77,77003,162,483,-321
ED 4,83.33%,94,27,2,6,2,AD   77,77004,29,100,-71
ED 5,99.00%,470,178,11,11,2,AD   77,77005,189,481,-292
ED 6,99.00%,466,155,15,18,2,AD   77,77006,170,484,-314
ED 7,99.00%,478,202,11,12,4,AD   77,77007,213,490,-277
ED 8,99.00%,414,145,10,11,7,AD   77,77008,155,425,-270
ED 9,99.00%,488,200,16,14,6,AD   77,77009,216,502,-286
ED 10,99.00%,449,195,7,21,5,AD   77,77010,202,470,-268
ED 11,99.00%,475,196,15,10,1,AD   77,77011,211,485,-274
ED 12,99.00%,481,144,12,18,6,AD   77,77012,156,499,-343
ED 13,99.00%,553,174,19,14,2,AD   77,77013,193,567,-374
ED 14,99.00%,470,132,6,16,3,AD   77,77014,138,486,-348
ED 15,99.00%,40,20,1,3,0,AD   77,77015,21,43,-22
ED 16,99.00%,98,17,1,5,1,AD   77,77016,18,103,-85
ED 17,99.00%,348,92,6,8,1,AD   77,77017,98,356,-258
ED 18,99.00%,350,103,5,16,5,AD   77,77018,108,366,-258
ED 19,99.00%,418,94,5,10,1,AD   77,77019,99,428,-329
ED 20,99.00%,141,51,3,5,1,AD   77,77020,54,146,-92
ED 21,99.00%,297,119,6,11,3,AD   77,77021,125,308,-183
ED 22,85.71%,250,95,7,4,3,AD   77,77022,102,254,-152
ED 23,85.71%,365,132,6,17,2,AD   77,77023,138,382,-244
ED 24,99.00%,401,114,12,11,2,AD   77,77024,126,412,-286
ED 25,99.00%,246,95,2,6,2,AD   77,77025,97,252,-155
ED 26,99.00%,350,166,6,9,1,AD   77,77026,172,359,-187
ED 27,99.00%,379,163,6,10,2,AD   77,77027,169,389,-220
ED 28,99.00%,264,93,5,5,4,AD   77,77028,98,269,-171
ED 29,99.00%,114,42,5,3,1,AD   77,77029,47,117,-70
ED 30,99.00%,156,51,3,3,0,AD   77,77030,54,159,-105
ED 31,99.00%,334,123,6,10,3,AD   77,77031,129,344,-215
ED 32,99.00%,370,131,7,9,5,AD   77,77032,138,379,-241
ED 33,87.50%,171,59,8,6,3,AD   77,77033,67,177,-110
ED 34,87.50%,149,81,6,3,1,AD   77,77034,87,152,-65
ED 35,87.50%,283,122,8,5,5,AD   77,77035,130,288,-158
ED 36,87.50%,253,117,3,6,2,AD   77,77036,120,259,-139
ED 37,87.50%,338,108,11,17,3,AD   77,77037,119,355,-236
ED 38,99.00%,246,74,5,6,3,AD   77,77038,79,252,-173
ED 39,87.50%,340,167,6,8,2,AD   77,77039,173,348,-175
ED 40,99.00%,348,125,15,10,4,AD   77,77040,140,358,-218
ED 41,99.00%,387,161,7,19,5,AD   77,77041,168,406,-238
ED 42,99.00%,398,156,9,4,2,AD   77,77042,165,402,-237
ED 43,99.00%,0,1,0,0,0,AD   77,77043,1,0,1
ED 44,99.00%,422,136,4,10,7,AD   77,77044,140,432,-292
ED 45,83.33%,51,14,1,0,0,AD   77,77045,15,51,-36
ED 46,83.33%,325,112,1,11,4,AD   77,77046,113,336,-223
ED 47,99.00%,510,129,10,29,14,AD   77,77047,139,539,-400
ED 48,83.33%,152,54,2,2,4,AD   77,77048,56,154,-98
ED 49,99.00%,691,123,14,35,20,AD   77,77049,137,726,-589
ED 50,83.33%,376,93,6,6,2,AD   77,77050,99,382,-283
ED 51,99.00%,292,94,2,17,7,AD   77,77051,96,309,-213
ED 52,99.00%,474,159,7,17,7,AD   77,77052,166,491,-325
ED 53,99.00%,397,144,9,8,7,AD   77,77053,153,405,-252
ED 54,99.00%,220,121,2,5,2,AD   77,77054,123,225,-102
ED 55,99.00%,119,60,4,4,0,AD   77,77055,64,123,-59
ED 56,99.00%,273,148,11,4,4,AD   77,77056,159,277,-118
ED 57,99.00%,0,0,0,0,0,AD   77,77057,0,0,0
ED 58,83.33%,0,0,0,0,0,AD   77,77058,0,0,0
ED 59,99.00%,0,0,0,0,0,AD   77,77059,0,0,0
ED 60,99.00%,0,0,0,0,0,AD   77,77060,0,0,0
ED 61,99.00%,0,0,0,0,0,AD   77,77061,0,0,0
ED 62,99.00%,0,0,0,0,0,AD   77,77062,0,0,0
ED 63,99.00%,0,0,0,0,0,AD   77,77063,0,0,0
ED 1,99.00%,366,117,8,15,4,AD   78,78001,125,381,-256
ED 2,99.00%,484,123,8,19,4,AD   78,78002,131,503,-372
ED 3,99.00%,407,142,11,9,0,AD   78,78003,153,416,-263
ED 4,99.00%,360,96,8,12,1,AD   78,78004,104,372,-268
ED 5,99.00%,265,122,9,10,4,AD   78,78005,131,275,-144
ED 6,99.00%,262,115,6,9,3,AD   78,78006,121,271,-150
ED 7,99.00%,381,161,14,14,3,AD   78,78007,175,395,-220
ED 8,99.00%,230,125,8,7,8,AD   78,78008,133,237,-104
ED 9,99.00%,229,96,10,12,9,AD   78,78009,106,241,-135
ED 10,99.00%,401,113,12,18,4,AD   78,78010,125,419,-294
ED 11,99.00%,211,58,6,12,6,AD   78,78011,64,223,-159
ED 12,87.50%,243,119,12,14,6,AD   78,78012,131,257,-126
ED 13,87.50%,248,77,4,7,1,AD   78,78013,81,255,-174
ED 14,99.00%,335,144,13,11,3,AD   78,78014,157,346,-189
ED 15,99.00%,64,33,4,3,0,AD   78,78015,37,67,-30
ED 16,99.00%,225,99,6,10,7,AD   78,78016,105,235,-130
ED 17,99.00%,397,215,8,8,9,AD   78,78017,223,405,-182
ED 18,99.00%,373,203,12,8,3,AD   78,78018,215,381,-166
ED 19,99.00%,355,142,9,21,4,AD   78,78019,151,376,-225
ED 20,99.00%,428,159,14,14,5,AD   78,78020,173,442,-269
ED 21,99.00%,309,171,5,17,3,AD   78,78021,176,326,-150
ED 22,99.00%,350,203,16,21,6,AD   78,78022,219,371,-152
ED 23,87.50%,363,147,9,20,8,AD   78,78023,156,383,-227
ED 24,87.50%,56,18,0,2,1,AD   78,78024,18,58,-40
ED 25,99.00%,381,152,16,19,11,AD   78,78025,168,400,-232
ED 26,87.50%,284,117,5,18,5,AD   78,78026,122,302,-180
ED 27,87.50%,379,170,16,21,10,AD   78,78027,186,400,-214
ED 28,99.00%,502,241,17,38,14,AD   78,78028,258,540,-282
ED 29,99.00%,468,244,10,33,5,AD   78,78029,254,501,-247
ED 30,99.00%,452,162,11,21,13,AD   78,78030,173,473,-300
ED 31,99.00%,248,88,6,14,3,AD   78,78031,94,262,-168
ED 32,99.00%,512,96,4,18,7,AD   78,78032,100,530,-430
ED 33,90.00%,354,191,12,12,6,AD   78,78033,203,366,-163
ED 34,90.00%,313,195,5,15,5,AD   78,78034,200,328,-128
ED 35,90.00%,257,185,9,16,3,AD   78,78035,194,273,-79
ED 36,99.00%,512,182,15,14,12,AD   78,78036,197,526,-329
ED 37,99.00%,422,212,11,13,4,AD   78,78037,223,435,-212
ED 38,90.00%,236,114,8,13,0,AD   78,78038,122,249,-127
ED 39,99.00%,366,196,16,21,0,AD   78,78039,212,387,-175
ED 40,99.00%,306,132,7,9,2,AD   78,78040,139,315,-176
ED 41,99.00%,306,206,18,11,11,AD   78,78041,224,317,-93
ED 42,99.00%,376,163,3,13,5,AD   78,78042,166,389,-223
ED 43,99.00%,340,232,22,7,4,AD   78,78043,254,347,-93
ED 44,99.00%,268,161,14,13,8,AD   78,78044,175,281,-106
ED 45,99.00%,248,120,2,2,3,AD   78,78045,122,250,-128
ED 46,99.00%,317,153,7,11,6,AD   78,78046,160,328,-168
ED 47,99.00%,342,203,9,14,3,AD   78,78047,212,356,-144
ED 48,99.00%,1,1,0,0,0,AD   78,78048,1,1,0
ED 49,99.00%,393,147,13,19,12,AD   78,78049,160,412,-252
ED 50,99.00%,141,105,6,8,4,AD   78,78050,111,149,-38
ED 52,99.00%,0,0,0,0,0,AD   78,78052,0,0,0
ED 53,99.00%,0,0,0,0,0,AD   78,78053,0,0,0
ED 54,87.50%,0,0,0,0,0,AD   78,78054,0,0,0
ED 55,99.00%,0,0,0,0,0,AD   78,78055,0,0,0
ED 1,99.00%,464,103,8,8,3,AD   79,79001,111,472,-361
ED 2,99.00%,62,30,4,0,2,AD   79,79002,34,62,-28
ED 3,99.00%,391,106,6,16,1,AD   79,79003,112,407,-295
ED 4,99.00%,267,124,7,7,3,AD   79,79004,131,274,-143
ED 5,99.00%,251,82,5,5,2,AD   79,79005,87,256,-169
ED 6,99.00%,221,84,4,5,2,AD   79,79006,88,226,-138
ED 7,99.00%,51,13,1,2,0,AD   79,79007,14,53,-39
ED 8,99.00%,250,61,3,10,0,AD   79,79008,64,260,-196
ED 9,99.00%,133,44,3,2,1,AD   79,79009,47,135,-88
ED 10,99.00%,345,101,7,2,4,AD   79,79010,108,347,-239
ED 11,99.00%,436,100,10,6,5,AD   79,79011,110,442,-332
ED 12,99.00%,476,138,19,16,2,AD   79,79012,157,492,-335
ED 13,99.00%,365,74,12,12,3,AD   79,79013,86,377,-291
ED 14,99.00%,370,110,9,8,4,AD   79,79014,119,378,-259
ED 15,99.00%,504,133,10,13,5,AD   79,79015,143,517,-374
ED 16,99.00%,245,62,4,7,3,AD   79,79016,66,252,-186
ED 17,99.00%,333,123,6,12,1,AD   79,79017,129,345,-216
ED 18,99.00%,285,70,6,11,3,AD   79,79018,76,296,-220
ED 19,99.00%,190,50,2,4,0,AD   79,79019,52,194,-142
ED 20,99.00%,386,101,8,12,4,AD   79,79020,109,398,-289
ED 21,99.00%,283,84,7,13,7,AD   79,79021,91,296,-205
ED 22,99.00%,380,119,10,11,4,AD   79,79022,129,391,-262
ED 23,99.00%,397,196,7,13,4,AD   79,79023,203,410,-207
ED 24,99.00%,314,103,5,13,1,AD   79,79024,108,327,-219
ED 25,99.00%,206,76,2,6,0,AD   79,79025,78,212,-134
ED 26,99.00%,224,65,5,14,3,AD   79,79026,70,238,-168
ED 27,99.00%,424,117,11,15,5,AD   79,79027,128,439,-311
ED 28,99.00%,506,132,11,23,8,AD   79,79028,143,529,-386
ED 29,99.00%,484,154,7,22,4,AD   79,79029,161,506,-345
ED 30,99.00%,328,78,6,12,2,AD   79,79030,84,340,-256
ED 31,99.00%,312,98,11,13,3,AD   79,79031,109,325,-216
ED 32,99.00%,492,158,15,15,6,AD   79,79032,173,507,-334
ED 33,99.00%,233,56,8,12,3,AD   79,79033,64,245,-181
ED 34,99.00%,406,158,9,15,4,AD   79,79034,167,421,-254
ED 35,99.00%,445,109,17,18,2,AD   79,79035,126,463,-337
ED 36,99.00%,339,103,11,9,6,AD   79,79036,114,348,-234
ED 37,99.00%,449,149,13,13,6,AD   79,79037,162,462,-300
ED 38,99.00%,330,101,8,6,7,AD   79,79038,109,336,-227
ED 39,99.00%,277,82,6,7,2,AD   79,79039,88,284,-196
ED 40,99.00%,513,138,12,6,1,AD   79,79040,150,519,-369
ED 41,99.00%,313,89,9,10,6,AD   79,79041,98,323,-225
ED 42,99.00%,321,101,10,12,3,AD   79,79042,111,333,-222
ED 43,99.00%,707,155,19,32,7,AD   79,79043,174,739,-565
ED 44,90.00%,331,115,12,18,2,AD   79,79044,127,349,-222
ED 45,99.00%,329,93,5,14,3,AD   79,79045,98,343,-245
ED 46,99.00%,493,149,9,27,3,AD   79,79046,158,520,-362
ED 47,99.00%,505,132,11,32,9,AD   79,79047,143,537,-394
ED 48,90.00%,76,21,0,6,1,AD   79,79048,21,82,-61
ED 49,90.00%,147,53,2,5,1,AD   79,79049,55,152,-97
ED 50,90.00%,334,109,7,21,1,AD   79,79050,116,355,-239
ED 51,90.00%,319,148,13,14,6,AD   79,79051,161,333,-172
ED 52,90.00%,354,105,6,11,2,AD   79,79052,111,365,-254
ED 53,99.00%,303,77,5,12,0,AD   79,79053,82,315,-233
ED 54,99.00%,565,63,13,15,6,AD   79,79054,76,580,-504
ED 55,99.00%,690,92,17,26,6,AD   79,79055,109,716,-607
ED 56,99.00%,396,60,8,12,2,AD   79,79056,68,408,-340
ED 57,99.00%,174,63,5,8,3,AD   79,79057,68,182,-114
ED 58,99.00%,65,23,4,4,0,AD   79,79058,27,69,-42
ED 59,90.00%,207,59,4,2,1,AD   79,79059,63,209,-146
ED 1,99.00%,85,30,3,5,2,AD   80,80001,33,90,-57
ED 2,99.00%,296,125,6,12,9,AD   80,80002,131,308,-177
ED 3,99.00%,289,163,16,15,12,AD   80,80003,179,304,-125
ED 4,99.00%,175,220,21,8,6,AD   80,80004,241,183,58
ED 5,99.00%,249,175,11,19,38,AD   80,80005,186,268,-82
ED 6,99.00%,375,303,27,29,23,AD   80,80006,330,404,-74
ED 7,99.00%,169,87,2,7,2,AD   80,80007,89,176,-87
ED 8,99.00%,403,214,9,28,14,AD   80,80008,223,431,-208
ED 9,99.00%,159,102,3,9,3,AD   80,80009,105,168,-63
ED 10,99.00%,235,251,21,13,8,AD   80,80010,272,248,24
ED 11,99.00%,333,205,13,18,8,AD   80,80011,218,351,-133
ED 12,99.00%,446,226,16,38,4,AD   80,80012,242,484,-242
ED 13,99.00%,439,216,10,28,9,AD   80,80013,226,467,-241
ED 14,99.00%,421,140,10,34,9,AD   80,80014,150,455,-305
ED 15,99.00%,497,180,10,18,9,AD   80,80015,190,515,-325
ED 16,99.00%,386,198,21,26,15,AD   80,80016,219,412,-193
ED 17,99.00%,476,227,13,25,19,AD   80,80017,240,501,-261
ED 18,99.00%,300,257,19,10,2,AD   80,80018,276,310,-34
ED 19,99.00%,213,237,21,18,18,AD   80,80019,258,231,27
ED 20,99.00%,329,472,23,20,21,AD   80,80020,495,349,146
ED 21,99.00%,372,169,10,38,15,AD   80,80021,179,410,-231
ED 22,99.00%,267,116,9,7,3,AD   80,80022,125,274,-149
ED 23,99.00%,341,409,30,22,17,AD   80,80023,439,363,76
ED 24,99.00%,366,201,26,20,7,AD   80,80024,227,386,-159
ED 25,99.00%,215,114,7,9,4,AD   80,80025,121,224,-103
ED 26,99.00%,497,212,15,19,7,AD   80,80026,227,516,-289
ED 27,99.00%,181,35,5,3,1,AD   80,80027,40,184,-144
ED 28,99.00%,84,17,0,2,0,AD   80,80028,17,86,-69
ED 29,99.00%,442,148,17,10,19,AD   80,80029,165,452,-287
ED 30,87.50%,462,171,11,21,23,AD   80,80030,182,483,-301
ED 31,99.00%,250,85,8,2,3,AD   80,80031,93,252,-159
ED 32,99.00%,169,65,4,6,2,AD   80,80032,69,175,-106
ED 33,99.00%,73,15,3,1,0,AD   80,80033,18,74,-56
ED 34,99.00%,542,111,10,9,4,AD   80,80034,121,551,-430
ED 35,99.00%,561,154,20,26,6,AD   80,80035,174,587,-413
ED 36,99.00%,276,54,2,14,3,AD   80,80036,56,290,-234
ED 37,99.00%,454,108,5,25,12,AD   80,80037,113,479,-366
ED 38,99.00%,468,97,12,9,5,AD   80,80038,109,477,-368
ED 39,99.00%,0,0,0,0,0,AD   80,80039,0,0,0
ED 40,99.00%,333,210,9,17,13,AD   80,80040,219,350,-131
ED 41,99.00%,477,359,32,17,16,AD   80,80041,391,494,-103
ED 42,99.00%,563,341,23,25,26,AD   80,80042,364,588,-224
ED 43,87.50%,493,331,21,29,16,AD   80,80043,352,522,-170
ED 44,87.50%,349,110,17,9,2,AD   80,80044,127,358,-231
ED 45,99.00%,404,171,9,15,6,AD   80,80045,180,419,-239
ED 46,99.00%,283,124,3,12,7,AD   80,80046,127,295,-168
ED 47,87.50%,187,144,7,11,8,AD   80,80047,151,198,-47
ED 48,99.00%,269,183,12,7,5,AD   80,80048,195,276,-81
ED 49,99.00%,312,129,12,14,7,AD   80,80049,141,326,-185
ED 50,99.00%,361,107,16,15,14,AD   80,80050,123,376,-253
ED 51,99.00%,359,119,6,12,4,AD   80,80051,125,371,-246
ED 52,99.00%,52,9,0,1,0,AD   80,80052,9,53,-44
ED 53,99.00%,343,155,10,21,5,AD   80,80053,165,364,-199
ED 54,99.00%,888,135,9,15,6,AD   80,80054,144,903,-759
ED 55,99.00%,388,187,10,15,9,AD   80,80055,197,403,-206
ED 56,99.00%,362,193,10,18,22,AD   80,80056,203,380,-177
ED 57,99.00%,480,194,17,24,28,AD   80,80057,211,504,-293
ED 58,99.00%,256,134,7,10,3,AD   80,80058,141,266,-125
ED 59,99.00%,235,104,6,11,12,AD   80,80059,110,246,-136
ED 60,99.00%,84,120,8,6,8,AD   80,80060,128,90,38
ED 61,99.00%,1,1,0,0,0,AD   80,80061,1,1,0
ED 62,99.00%,102,49,4,4,13,AD   80,80062,53,106,-53
ED 63,99.00%,110,76,0,6,2,AD   80,80063,76,116,-40
ED 64,99.00%,28,7,1,0,0,AD   80,80064,8,28,-20
ED 65,99.00%,0,0,0,0,0,AD   80,80065,0,0,0
ED 66,99.00%,0,0,0,0,0,AD   80,80066,0,0,0
ED 67,99.00%,0,0,0,0,0,AD   80,80067,0,0,0
ED 1,99.00%,323,176,14,8,9,AD   81,81001,190,331,-141
ED 2,99.00%,427,201,16,23,7,AD   81,81002,217,450,-233
ED 3,99.00%,225,155,9,9,6,AD   81,81003,164,234,-70
ED 4,99.00%,256,84,4,8,1,AD   81,81004,88,264,-176
ED 5,99.00%,236,157,10,23,12,AD   81,81005,167,259,-92
ED 6,99.00%,391,192,11,18,2,AD   81,81006,203,409,-206
ED 7,99.00%,269,93,8,21,12,AD   81,81007,101,290,-189
ED 8,99.00%,374,125,17,25,23,AD   81,81008,142,399,-257
ED 9,99.00%,300,146,9,22,8,AD   81,81009,155,322,-167
ED 10,99.00%,449,241,19,31,13,AD   81,81010,260,480,-220
ED 11,99.00%,583,289,19,42,24,AD   81,81011,308,625,-317
ED 12,99.00%,306,181,21,25,4,AD   81,81012,202,331,-129
ED 13,99.00%,49,31,1,6,2,AD   81,81013,32,55,-23
ED 14,80.00%,524,188,14,39,14,AD   81,81014,202,563,-361
ED 15,80.00%,454,102,11,36,6,AD   81,81015,113,490,-377
ED 16,80.00%,325,87,10,26,12,AD   81,81016,97,351,-254
ED 17,99.00%,741,256,24,81,30,AD   81,81017,280,822,-542
ED 18,99.00%,408,106,10,6,4,AD   81,81018,116,414,-298
ED 19,99.00%,669,157,9,57,17,AD   81,81019,166,726,-560
ED 20,99.00%,475,116,16,56,10,AD   81,81020,132,531,-399
ED 21,99.00%,588,151,10,85,21,AD   81,81021,161,673,-512
ED 22,99.00%,585,217,10,46,14,AD   81,81022,227,631,-404
ED 23,99.00%,489,128,15,50,6,AD   81,81023,143,539,-396
ED 24,99.00%,393,86,10,10,6,AD   81,81024,96,403,-307
ED 25,99.00%,227,141,5,16,11,AD   81,81025,146,243,-97
ED 26,99.00%,686,193,21,60,24,AD   81,81026,214,746,-532
ED 27,80.00%,669,144,8,34,14,AD   81,81027,152,703,-551
ED 28,99.00%,832,198,13,46,17,AD   81,81028,211,878,-667
ED 29,99.00%,710,250,16,53,29,AD   81,81029,266,763,-497
ED 30,99.00%,568,257,12,46,22,AD   81,81030,269,614,-345
ED 31,99.00%,772,280,12,44,16,AD   81,81031,292,816,-524
ED 32,99.00%,482,211,13,45,14,AD   81,81032,224,527,-303
ED 33,99.00%,310,98,11,13,10,AD   81,81033,109,323,-214
ED 34,99.00%,631,142,15,36,11,AD   81,81034,157,667,-510
ED 35,99.00%,573,161,18,42,13,AD   81,81035,179,615,-436
ED 36,99.00%,368,140,19,31,11,AD   81,81036,159,399,-240
ED 37,99.00%,599,217,21,49,20,AD   81,81037,238,648,-410
ED 38,99.00%,386,174,26,31,20,AD   81,81038,200,417,-217
ED 39,99.00%,453,191,18,35,13,AD   81,81039,209,488,-279
ED 40,99.00%,393,203,20,32,15,AD   81,81040,223,425,-202
ED 41,99.00%,272,301,27,18,16,AD   81,81041,328,290,38
ED 42,99.00%,294,307,22,43,20,AD   81,81042,329,337,-8
ED 43,99.00%,400,352,40,31,10,AD   81,81043,392,431,-39
ED 44,99.00%,661,125,13,16,7,AD   81,81044,138,677,-539
ED 45,99.00%,406,194,29,29,7,AD   81,81045,223,435,-212
ED 46,99.00%,249,60,3,26,6,AD   81,81046,63,275,-212
ED 47,99.00%,435,218,15,15,16,AD   81,81047,233,450,-217
ED 48,99.00%,565,207,23,25,6,AD   81,81048,230,590,-360
ED 49,99.00%,428,150,13,22,7,AD   81,81049,163,450,-287
ED 50,99.00%,365,181,10,15,8,AD   81,81050,191,380,-189
ED 51,99.00%,430,127,12,25,10,AD   81,81051,139,455,-316
ED 52,99.00%,449,72,10,11,1,AD   81,81052,82,460,-378
ED 53,99.00%,447,238,20,44,16,AD   81,81053,258,491,-233
ED 54,99.00%,621,253,21,60,12,AD   81,81054,274,681,-407
ED 55,99.00%,148,55,7,10,4,AD   81,81055,62,158,-96
ED 56,99.00%,330,124,14,37,22,AD   81,81056,138,367,-229
ED 57,99.00%,412,75,2,12,9,AD   81,81057,77,424,-347
ED 58,99.00%,409,103,8,18,2,AD   81,81058,111,427,-316
